Ageyears,Data_Value,Class,Question
 ,36.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
35 - 44,34.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
25 - 34,24.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,32.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,36.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,35.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,32.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
65 or older,35.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,18.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,25.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,38.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,27.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,27.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,35.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,26.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,32.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,36.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,41.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,46.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,34.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,45.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,39.3,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,33.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,31.2,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
18 - 24,27.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,29,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,42.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,26.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
25 - 34,30.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,35.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
55 - 64,39.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,41.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,34.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,31.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,31.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,28.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,28.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,26.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,33.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
35 - 44,39.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
65 or older,24.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
35 - 44,37.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
35 - 44,23.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,32,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,40.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,9.3,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,21.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,30.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,32.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,35.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
65 or older,28.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,23.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
35 - 44,27.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
45 - 54, ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,35.3,Physical Activity,Percent of adults who engage in no leisure-time physical activity
35 - 44,39.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
25 - 34,25.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
65 or older,38,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
18 - 24,25.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,41.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,36.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
45 - 54,45.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,33,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,34.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,45.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
55 - 64,37.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,44.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
35 - 44,29.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,34.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
18 - 24,22.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,31.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,35,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
35 - 44,30.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,38,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,37.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,33.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,36.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,36.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,29.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
65 or older,31.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,43.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,11.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,41.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,38.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,38.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,34.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,24.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,36.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,30.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,25.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,36.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,35.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,26.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,36.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
35 - 44,37.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
55 - 64,42.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
35 - 44,36.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,12.3,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
 ,30.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,31.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
35 - 44,37.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,27.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,37,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,36.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
25 - 34,15.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,35.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,31.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,15.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,31.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,35,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,35.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,19.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,29.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,36,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,25.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,33.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,27.3,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
18 - 24,21.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,19.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,34.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,22.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,13.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,28.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
45 - 54,34.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,43.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,32.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,28.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,10.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
55 - 64,19.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
45 - 54,38.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,34.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
35 - 44,30.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,30.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,34.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,29.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,29.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
65 or older,32.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,30.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,36,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
45 - 54,29.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,29.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,32.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
35 - 44,31.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,14.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
18 - 24,15.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,30.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,24.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,29.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,25.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
65 or older,17,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
45 - 54,36.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
25 - 34,17.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,22.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,31,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
18 - 24,13.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
25 - 34,37.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,26,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,26.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,34.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,20.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,35.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
18 - 24,25.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,33.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
25 - 34,36.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,51,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,30.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,35.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,12.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,40.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,35.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,36.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,38.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
25 - 34,17.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,31.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
65 or older,38,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,33.3,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,28.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,30.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,31.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,33.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
45 - 54,27.3,Physical Activity,Percent of adults who engage in no leisure-time physical activity
25 - 34,34.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,37.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,12.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,18.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
18 - 24,20.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,29.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
25 - 34,27.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,46.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,34.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Physical Activity,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
55 - 64,36.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,43,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
18 - 24,15.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
45 - 54,37.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,43.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
25 - 34,14.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,29.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,19.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
55 - 64,28.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,22.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,42.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
45 - 54,43.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,11.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
65 or older,29.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,27.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,33.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,34.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,15.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
18 - 24,13.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,40.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,32.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,34.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,30.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
45 - 54,35.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,30.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,39.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,35.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,35.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
18 - 24,26.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,12.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,14.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,18.3,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,25,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,27.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,29.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,32.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,36.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,27.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,37.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,15.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,30.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,34.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
55 - 64,27.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,31.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,47.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,42.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,20.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,35.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,27.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,24.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,27.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,34,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,36.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,28.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,33.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,40.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,10.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,27.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
65 or older,26.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
35 - 44,20.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,33.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,33.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,29.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,31.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,30,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,34.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,36.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,34,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,10.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,38.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
35 - 44,32.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,27.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,36.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,36.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
45 - 54,37.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
55 - 64,34.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,33.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,28.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
45 - 54,39.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
45 - 54,37.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,33.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,24.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,33.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
45 - 54,38.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,24.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,33.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
45 - 54,34.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,22.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,19.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
18 - 24,29.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
18 - 24,22,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,24.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
45 - 54,50.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,21.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,33.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,5.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,27.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,35.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,33.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,32.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,31.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,35.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
65 or older,31.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,41.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,21.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,33.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,31.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,39.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,22.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
45 - 54,34,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,30.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,23.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,25.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,21.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,24.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,27.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,14.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,33.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,26.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,34.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,20.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
65 or older,38.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,19.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,29.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
35 - 44,41.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,34.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
45 - 54,34.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,34.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
35 - 44,37.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
